발생년도,구분,학교급,학교수,학생수,행동-일반학습,행동-실험·실습,행동-구기,행동-라켓 스포츠,행동-타겟형 스포츠,"행동-바퀴달린 
무동력스포츠",행동-육상,행동-무도,행동-수중,행동-설상·빙상,행동-체조·무용·매트운동,행동-기타 스포츠활동,행동-식사,행동-휴식,"행동-장난, 놀이",행동-씻기,행동-수면,행동-기타 일상활동,"행동-걷기/뛰기,
 오르내리기","행동-(교통수단 등) 운전, 조작, 탑승 중",행동-싸움,행동-기타,활동-이론수업,활동-실험/실습,활동-체육,활동-자유놀이활동시간,활동-대소집단활동시간,활동-창의적 체험,활동-특별활동시간,활동-등·하교,활동-학교체류,활동-그 밖의 교육활동 시간,장소-교수학습 및 학습지원공간,장소-관리·행정공간,장소-체육·집회공간,장소-보건·위생공간,장소-공용공간,장소-기타 교내,장소-문화·체육공간,장소-교통구역(스쿨존 내),장소-교통구역(스쿨존 외),장소-자연,장소-기타 교외,"형태-부딪힘
(교통사고 포함)",형태-끼임·눌림,형태-낙상,형태-스스로 신체에 충격을 가함(염좌·삐임),형태-긁힘·베임·절단·찔림,형태-물림·쏘임,"형태-열, 전기에 의한 손상",형태-냉에 의한 손상,형태-화학물질 노출,형태-호흡 곤란,"형태-식중독 및 이물질 섭취, 접촉",형태-그 밖의 손상 사고
2024,서울,유치원,754,"61,128",244,3,37,1,2,4,41,1,4,1,4,44,32,11,306,17,1,184,144,9,1,131,0,0,1,365,468,14,46,43,226,59,612,4,303,40,104,21,95,12,2,14,15,551,53,228,95,159,13,21,0,4,0,7,91
2024,서울,초등학교,609,"363,157",973,159,3708,197,49,6,792,54,41,45,187,590,258,586,1622,104,0,442,2200,20,8,280,278,499,4643,0,0,405,337,901,4929,329,2892,2,6348,211,2184,294,224,101,22,19,24,5198,410,3037,2425,717,13,111,0,20,16,42,332
2024,서울,중학교,390,"195,738",353,132,7304,382,44,60,384,70,5,47,96,380,114,382,1122,7,2,253,1357,62,16,223,167,263,5323,0,0,926,830,370,4477,439,1368,14,9043,68,1479,156,441,82,68,12,64,6077,217,2509,3130,418,3,68,0,15,22,6,330
2024,서울,고등학교,318,"207,311",209,150,3899,203,25,20,248,111,9,5,59,189,63,117,197,18,1,83,730,84,1,126,64,141,2754,0,0,255,833,319,1917,264,472,2,4802,46,593,119,260,84,86,10,73,2456,83,1374,2095,194,3,62,1,18,18,15,228
2024,서울,특수학교,32,"4,510",21,4,7,0,2,2,7,0,0,0,3,11,6,10,7,1,0,13,37,7,0,18,17,15,22,0,0,13,10,20,51,8,56,0,37,7,36,9,1,6,3,0,1,42,5,60,19,11,2,1,0,0,1,1,14
2024,부산,유치원,375,"32,814",92,0,7,0,1,1,23,1,1,0,7,23,30,9,231,12,0,91,94,3,0,69,0,0,0,187,250,9,31,34,157,27,322,0,215,10,70,8,41,2,4,16,7,289,24,155,62,89,12,12,0,1,1,1,49
2024,부산,초등학교,305,"146,511",300,45,1215,61,12,3,175,11,8,9,43,168,78,247,887,30,1,180,849,6,0,98,95,125,1199,0,0,130,136,324,2267,150,875,3,2296,71,937,78,86,49,9,3,19,1936,122,1194,761,242,4,35,0,12,1,5,114
2024,부산,중학교,170,"75,593",121,42,2072,99,9,1,151,34,0,4,28,105,29,118,381,2,0,72,513,8,0,72,52,86,1628,0,0,222,168,149,1396,160,459,6,2647,29,500,53,86,36,16,2,27,1781,65,848,891,137,8,21,0,11,1,2,96
2024,부산,고등학교,142,"71,440",68,85,1300,82,5,5,86,16,0,2,15,66,13,47,56,4,1,28,287,6,0,43,11,69,814,0,0,73,237,119,800,92,180,8,1624,11,185,63,73,31,14,6,20,792,23,504,696,84,3,46,0,2,0,1,64
2024,부산,특수학교,15,"2,063",6,4,0,1,0,1,3,1,0,0,1,6,3,6,1,0,0,4,13,6,0,3,4,5,10,0,0,0,6,9,21,4,21,0,13,1,13,4,2,2,3,0,0,19,1,16,12,4,1,1,0,0,0,0,5
2024,대구,유치원,320,"29,254",78,0,12,0,0,0,5,0,2,0,5,16,13,10,126,9,1,73,52,2,0,39,3,0,1,132,148,8,23,29,76,23,224,0,98,11,49,8,35,4,1,9,4,177,23,90,35,55,8,9,0,1,2,3,40
2024,대구,초등학교,240,"116,562",260,65,998,73,13,4,188,29,11,11,81,145,53,179,409,24,1,145,640,5,3,77,87,122,1107,0,0,98,152,283,1437,128,676,0,1768,64,643,104,107,35,9,2,6,1467,91,789,695,220,0,54,0,3,4,2,89
2024,대구,중학교,127,"61,328",103,61,1932,103,10,18,136,35,4,10,17,105,39,173,322,3,3,76,377,11,4,58,37,83,1489,0,0,341,203,104,1226,117,443,1,2437,27,442,35,150,17,14,8,26,1731,85,710,766,152,6,41,0,0,2,2,105
2024,대구,고등학교,96,"60,083",61,86,981,77,6,7,68,42,3,5,6,61,25,46,69,9,1,29,222,20,0,44,10,79,728,0,0,59,243,79,580,90,195,5,1242,9,164,58,125,12,18,11,29,724,36,377,525,86,5,31,0,3,2,1,78
2024,대구,특수학교,11,"2,027",6,1,5,1,0,2,2,0,1,0,1,1,0,2,5,0,0,3,7,3,0,3,5,2,7,0,0,5,3,4,14,3,13,0,11,0,6,4,4,1,3,0,1,15,3,13,5,1,0,1,0,0,0,0,5
2024,인천,유치원,393,"34,457",179,3,19,0,2,1,12,3,5,1,7,35,42,10,223,17,0,91,98,9,0,61,1,0,0,270,290,7,24,28,175,23,433,0,205,25,61,10,52,8,4,8,12,359,39,172,43,118,15,4,0,2,2,5,59
2024,인천,초등학교,264,"150,732",277,47,1026,49,4,14,195,26,16,2,69,159,75,243,553,35,1,153,670,6,1,93,82,150,1181,0,0,85,95,239,1730,152,830,2,1791,54,806,96,83,24,5,7,16,1538,137,966,761,182,1,29,1,2,4,8,85
2024,인천,중학교,144,"79,918",116,32,1874,124,19,7,146,54,0,1,47,159,41,154,345,2,1,82,417,25,0,71,49,98,1461,0,0,273,301,133,1242,160,428,2,2497,24,510,44,146,25,19,1,21,1703,93,749,888,122,1,15,3,2,3,4,134
2024,인천,고등학교,127,"75,486",79,57,1253,87,13,13,75,41,0,1,6,93,24,40,58,3,1,47,245,11,0,55,26,59,981,0,0,96,252,93,582,113,173,3,1594,12,216,38,107,18,18,7,16,808,34,464,707,75,2,14,2,10,11,5,70
2024,인천,특수학교,10,"1,983",6,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,11,0,0,7,4,5,1,0,0,2,1,6,13,0,14,0,4,1,9,2,1,0,1,0,0,9,1,11,3,3,1,1,0,0,0,0,3
2024,광주,유치원,273,"18,924",69,0,6,0,0,2,10,0,2,0,4,13,10,10,99,5,1,37,31,4,0,45,4,0,1,90,113,10,20,21,64,25,200,0,82,6,22,7,27,3,1,0,0,133,19,84,20,52,1,2,0,0,1,0,36
2024,광주,초등학교,155,"78,107",127,25,617,35,6,8,101,14,3,3,32,74,31,165,340,22,0,77,342,2,2,38,33,68,650,0,0,46,87,124,996,60,492,0,966,37,393,79,66,9,7,4,11,896,60,508,425,114,3,11,0,5,0,2,40
2024,광주,중학교,91,"42,440",86,21,1370,73,9,7,83,17,1,0,21,109,21,121,245,0,1,59,312,7,1,42,24,43,1134,0,0,220,165,70,869,81,308,1,1772,16,369,45,51,15,12,5,12,1274,50,488,610,96,0,9,0,1,2,0,76
2024,광주,고등학교,68,"42,189",44,35,668,53,6,0,42,16,0,0,7,35,12,30,34,3,0,22,178,4,0,23,12,33,461,0,0,34,170,55,397,50,87,4,841,5,157,35,59,3,7,1,13,408,15,308,379,47,1,7,0,0,7,0,40
2024,광주,특수학교,6,"1,304",3,0,1,0,0,2,0,0,0,0,0,2,0,2,0,0,0,3,4,0,0,0,0,1,5,0,0,0,2,1,7,1,6,0,5,0,5,0,0,0,0,0,1,5,0,7,4,1,0,0,0,0,0,0,0
2024,대전,유치원,248,"17,855",75,0,11,0,1,0,8,0,0,0,2,14,15,3,101,7,0,63,51,2,0,39,1,0,0,132,139,11,12,15,63,19,204,0,104,9,35,9,21,3,0,6,1,169,16,79,35,51,4,3,0,0,1,1,33
2024,대전,초등학교,150,"71,366",110,30,610,29,9,0,108,8,6,0,26,74,19,73,177,11,0,58,334,1,0,35,27,53,614,0,0,63,58,110,705,88,327,0,984,26,309,38,18,8,4,2,2,664,27,450,409,88,1,21,0,3,0,3,52
2024,대전,중학교,89,"38,885",55,17,1060,51,4,2,69,19,1,0,10,54,8,40,73,0,0,30,176,3,0,30,19,53,857,0,0,116,108,37,426,86,133,1,1317,7,178,14,41,6,1,0,4,754,21,384,446,43,0,13,0,4,0,2,35
